title,description,price,location,property_type,bedrooms,bathrooms,area,amenities,images,status
"Modern Downtown Apartment","Beautiful modern apartment in the heart of downtown with stunning city views and premium amenities.",350000,"Downtown, New York, NY",apartment,2,2,1200,"gym,pool,parking,security,balcony","/placeholder.svg?height=300&width=400",available
"Spacious Family House","Perfect family home with large backyard, modern kitchen, and quiet neighborhood setting.",650000,"Suburbs, Los Angeles, CA",house,4,3,2800,"garden,garage,fireplace,deck,storage","/placeholder.svg?height=300&width=400",available
"Luxury Oceanfront Condo","Stunning oceanfront condominium with panoramic views and resort-style amenities.",950000,"Miami Beach, FL",condo,3,2,1800,"ocean view,pool,spa,concierge,gym","/placeholder.svg?height=300&width=400",available
"Cozy Studio Apartment","Charming studio in trendy neighborhood, perfect for young professionals.",180000,"Brooklyn, NY",studio,0,1,600,"laundry,security,rooftop","/placeholder.svg?height=300&width=400",available
"Victorian Townhouse","Historic townhouse with modern updates, original hardwood floors and character.",480000,"San Francisco, CA",townhouse,3,2,1600,"fireplace,parking,garden,historic","/placeholder.svg?height=300&width=400",sold
"Mountain View Villa","Spectacular villa with mountain views, infinity pool, and luxury finishes.",1200000,"Aspen, CO",villa,5,4,3500,"mountain view,pool,spa,wine cellar,garage","/placeholder.svg?height=300&width=400",available
"Urban Loft","Industrial-style loft in converted warehouse with high ceilings and exposed brick.",420000,"Chicago, IL",apartment,2,1,1400,"exposed brick,high ceilings,parking,loft","/placeholder.svg?height=300&width=400",available
"Suburban Ranch","Single-story ranch home with large lot, perfect for families with children.",380000,"Austin, TX",house,3,2,1900,"large lot,garage,patio,storage","/placeholder.svg?height=300&width=400",rented
"Penthouse Suite","Luxury penthouse with private elevator, terrace, and city skyline views.",1800000,"Manhattan, NY",condo,4,3,2200,"penthouse,terrace,city view,concierge,elevator","/placeholder.svg?height=300&width=400",available
"Beach House","Charming beach house steps from the ocean with private deck and outdoor shower.",750000,"Malibu, CA",house,3,2,1500,"beach access,deck,outdoor shower,ocean view","/placeholder.svg?height=300&width=400",available
"Modern Condo","Contemporary condo with smart home features and downtown convenience.",290000,"Seattle, WA",condo,2,2,1100,"smart home,gym,parking,security","/placeholder.svg?height=300&width=400",available
"Country Estate","Sprawling estate on 5 acres with guest house and equestrian facilities.",2500000,"Napa Valley, CA",villa,6,5,4500,"acreage,guest house,wine cellar,pool,stables","/placeholder.svg?height=300&width=400",available
"City Apartment","Affordable apartment in up-and-coming neighborhood with great transit access.",220000,"Portland, OR",apartment,1,1,800,"transit,laundry,security,balcony","/placeholder.svg?height=300&width=400",available
"Lakefront Cabin","Rustic cabin on private lake with dock and mountain views.",450000,"Lake Tahoe, CA",house,2,1,1200,"lakefront,dock,mountain view,fireplace","/placeholder.svg?height=300&width=400",available
"Historic Brownstone","Beautifully restored brownstone with original details and modern amenities.",890000,"Boston, MA",townhouse,4,3,2100,"historic,restored,parking,garden","/placeholder.svg?height=300&width=400",available
